Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
FAIRFIELD COMMUNITY HEALTH CENTER,LANCASTER,OH,"FAIRFIELD COMMUNITY HEALTH CENTER, LANCASTER, OH",Fairfield Community Health Center: Administration Office,"207 S Broad St, Lancaster, OH 43130, USA",(740) 277-6043,39.7121407,-82.6022492
HEALTH PARTNERS OF WESTERN OHIO,LIMA,OH,"HEALTH PARTNERS OF WESTERN OHIO, LIMA, OH",Health Partners of Western Ohio,"441 E 8th St, Lima, OH 45804, USA",(419) 221-3072,40.7122978,-84.099053
3RD STREET COMMUNITY CLINIC,MANSFIELD,OH,"3RD STREET COMMUNITY CLINIC, MANSFIELD, OH",Third Street Family Health Services,"600 W 3rd St, Mansfield, OH 44906, USA",(419) 522-6191,40.7606139,-82.5374802
"CENTER STREET COMMUNITY CLINIC, INC.",MARION,OH,"CENTER STREET COMMUNITY CLINIC, INC., MARION, OH","COPC Westerville Tsalikova, Fatima MD","205 W Center St # 200, Marion, OH 43302, USA",(614) 901-2273,40.588218,-83.1317229
SHAWNEE MENTAL HEALTH CENTER INC,PORTSMOUTH,OH,"SHAWNEE MENTAL HEALTH CENTER INC, PORTSMOUTH, OH",Shawnee Mental Health Center,"901 Washington St, Portsmouth, OH 45662, USA",(740) 354-7702,38.7376788,-82.9987862
"ERIE, COUNTY OF",SANDUSKY,OH,"ERIE, COUNTY OF, SANDUSKY, OH",Sandusky,"Sandusky, OH 44870, USA",,41.4561754,-82.7116821
"OHIO NORTH EAST HEALTH SYSTEMS, INC.",YOUNGSTOWN,OH,"OHIO NORTH EAST HEALTH SYSTEMS, INC., YOUNGSTOWN, OH",Ohio North East Health System,"726 Wick Ave, Youngstown, OH 44505, USA",(330) 747-2330,41.1093131,-80.6429419
SHORTGRASS COMMUNITY HEALTH CENTER INC.,HOLLIS,OK,"SHORTGRASS COMMUNITY HEALTH CENTER INC., HOLLIS, OK","Shortgrass Community Health Center, Inc.","400 E Sycamore St, Hollis, OK 73550, USA",(580) 688-2800,34.6958503,-99.91436
"VARIETY CARE, INC.",OKLAHOMA CITY,OK,"VARIETY CARE, INC., OKLAHOMA CITY, OK",Variety Care Straka Terrace,"1025 Straka Terrace, Oklahoma City, OK 73139, USA",(405) 632-6688,35.3880719,-97.5345056
STIGLER HEALTH & WELLNESS CENTER INC.,STIGLER,OK,"STIGLER HEALTH & WELLNESS CENTER INC., STIGLER, OK",Stigler Health & Wellness Center,"1505 E Main St, Stigler, OK 74462, USA",(918) 967-3368,35.2578866,-95.1073245
"COMMUNITY HEALTH CONNECTION, INC.",TULSA,OK,"COMMUNITY HEALTH CONNECTION, INC., TULSA, OK",Community Health Connection/La Conexión Médica - Kendall-Whittier,"2321 E 3rd St, Tulsa, OK 74104, USA",(918) 622-0641,36.1568909,-95.9587649
VIRGINIA GARCIA MEMORIAL HEALTH CENTER,ALOHA,OR,"VIRGINIA GARCIA MEMORIAL HEALTH CENTER, ALOHA, OR",Virginia Garcia Memorial Health Center,"226 SE 8th Ave, Hillsboro, OR 97123, USA",(503) 601-7400,45.520804,-122.9767156
COUNTY OF LANE,EUGENE,OR,"COUNTY OF LANE, EUGENE, OR",Eugene,"Eugene, OR, USA",,44.0520691,-123.0867536
WHITE BIRD CLINIC,EUGENE,OR,"WHITE BIRD CLINIC, EUGENE, OR",White Bird Clinic,"341 E 12th Ave, Eugene, OR 97401, USA",(541) 342-8255,44.046818,-123.087504
"SISKIYOU COMMUNITY HEALTH CENTER, INC.",GRANTS PASS,OR,"SISKIYOU COMMUNITY HEALTH CENTER, INC., GRANTS PASS, OR",Siskiyou Community Health Center,"1701 NW Hawthorne Ave, Grants Pass, OR 97526, USA",(541) 471-3455,42.4581159,-123.3258741
"LA CLINICA DEL VALLE FAMILY HEALTH CARE CENTER, INC.",MEDFORD,OR,"LA CLINICA DEL VALLE FAMILY HEALTH CARE CENTER, INC., MEDFORD, OR",La Clinica West Medford Health Center,"1307 W Main St, Medford, OR 97501, USA",(541) 535-6239,42.323455,-122.8868909
"CLACKAMAS, COUNTY OF",OREGON CITY,OR,"CLACKAMAS, COUNTY OF, OREGON CITY, OR",Oregon City,"Oregon City, OR 97045, USA",,45.3364465,-122.6050422
"MULTNOMAH, COUNTY OF",PORTLAND,OR,"MULTNOMAH, COUNTY OF, PORTLAND, OR",Multnomah County,"Multnomah County, OR, USA",,45.5145659,-122.5863212
NATIVE AMERICAN REHABILITATION ASSOCIATION INC,PORTLAND,OR,"NATIVE AMERICAN REHABILITATION ASSOCIATION INC, PORTLAND, OR","NARA Administration, Child & Family Services","620 NE 2nd St, Gresham, OR 97030, USA",(503) 224-1044,45.498769,-122.4245633
NEIGHBORHOOD HEALTH CENTER,PORTLAND,OR,"NEIGHBORHOOD HEALTH CENTER, PORTLAND, OR",Neighborhood Health Center - Milwaukie Medical Clinic,"10330 SE 32nd Ave Ste 325, Portland, OR 97222, USA",(503) 416-1960,45.448712,-122.629271
OUTSIDE IN,PORTLAND,OR,"OUTSIDE IN, PORTLAND, OR",Outside In,"1132 SW 13th Ave, Portland, OR 97205, USA",(503) 535-3860,45.5176709,-122.686533
"WALLACE MEDICAL CONCERN, THE",PORTLAND,OR,"WALLACE MEDICAL CONCERN, THE, PORTLAND, OR",The Wallace Medical Concern,"18139 NE Couch St, Portland, OR 97230, USA",,45.5233268,-122.4759465
MOSAICMEDICAL,PRINEVILLE,OR,"MOSAICMEDICAL, PRINEVILLE, OR",Mosaic Medical - Prineville Clinic,"375 NW Beaver St # 101, Prineville, OR 97754, USA",(541) 383-3005,44.3035339,-120.8491401
TILLAMOOK COUNTY,TILLAMOOK,OR,"TILLAMOOK COUNTY, TILLAMOOK, OR",Tillamook,"Tillamook, OR 97141, USA",,45.4562158,-123.8440137
REPUBLIC OF PALAU,PALAU,PW,"REPUBLIC OF PALAU, PALAU, PW",Palau,Palau,,7.51498,134.58252
NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY,ALLENTOWN,PA,"NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY, ALLENTOWN, PA",Neighborhood Health Center,"218 N 2nd St, Allentown, PA 18102, USA",(610) 841-8400,40.6088376,-75.4615578
"STAR COMMUNITY HEALTH, INC.",BETHLEHEM,PA,"STAR COMMUNITY HEALTH, INC., BETHLEHEM, PA",Star Community Health Women's Health - Bethlehem,"801 Ostrum St, Bethlehem, PA 18015, USA",(484) 526-4761,40.6089201,-75.3937008
"CHESPENN HEALTH SERVICES, INC.",CHESTER,PA,"CHESPENN HEALTH SERVICES, INC., CHESTER, PA",Chespenn Health Services,"2600 W 9th St, Chester, PA 19013, USA",(610) 485-3800,39.838041,-75.393587
"CENTERVILLE CLINICS, INCORPORATED",FREDERICKTOWN,PA,"CENTERVILLE CLINICS, INCORPORATED, FREDERICKTOWN, PA",Centerville Clinics - Joseph A. Yablonski Memorial Clinic,"1070 Old National Pike, Fredericktown, PA 15333, USA",(724) 632-6801,40.0473928,-79.9839273
"CORNERSTONE CARE, INC.",GREENSBORO,PA,"CORNERSTONE CARE, INC., GREENSBORO, PA",Cornerstone Care Community Health Center of Greensboro,"7 Glassworks Rd, Greensboro, PA 15338, USA",(724) 943-3308,39.8008687,-79.9153781
"HAMILTON HEALTH CENTER, INC.",HARRISBURG,PA,"HAMILTON HEALTH CENTER, INC., HARRISBURG, PA",Hamilton Health Center Inc,"1301 Sycamore St, Harrisburg, PA 17104, USA",(717) 230-3909,40.251105,-76.861339
LANCASTER HEALTH CENTER,LANCASTER,PA,"LANCASTER HEALTH CENTER, LANCASTER, PA",Lancaster Health Center,"304 N Water St, Lancaster, PA 17603, USA",(717) 299-6371,40.0432548,-76.3102569
WELSH MOUNTAIN HEALTH CENTERS,NEW HOLLAND,PA,"WELSH MOUNTAIN HEALTH CENTERS, NEW HOLLAND, PA",Meadow Creek Family Practice,"435 S Kinzer Ave, New Holland, PA 17557, USA",(717) 351-2400,40.0997123,-76.0733032
"DELAWARE VALLEY COMMUNITY HEALTH, INC.",PHILADELPHIA,PA,"DELAWARE VALLEY COMMUNITY HEALTH, INC., PHILADELPHIA, PA",Delaware Valley Community Health,"1412 Fairmount Ave, Philadelphia, PA 19130, USA",(215) 235-9600,39.9669239,-75.1614056
"ESPERANZA HEALTH CENTER, INC.",PHILADELPHIA,PA,"ESPERANZA HEALTH CENTER, INC., PHILADELPHIA, PA",Esperanza Health Center,"4417 N 6th St, Philadelphia, PA 19140, USA",(215) 302-3600,40.0189565,-75.1364988
"GREATER PHILADELPHIA HEALTH ACTION, INCORPORATED",PHILADELPHIA,PA,"GREATER PHILADELPHIA HEALTH ACTION, INCORPORATED, PHILADELPHIA, PA","GREATER PHILADELPHIA HEALTH ACTION, INC","432 N 6th St, Philadelphia, PA 19123, USA",(215) 925-2400,39.9592238,-75.148743
PHILADELPHIA FIGHT,PHILADELPHIA,PA,"PHILADELPHIA FIGHT, PHILADELPHIA, PA",Philadelphia FIGHT,"1233 Locust St, Philadelphia, PA 19107, USA",(215) 985-4448,39.948075,-75.1617544
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,"PHILADELPHIA, CITY OF, PHILADELPHIA, PA",Philadelphia,"Philadelphia, PA, USA",,39.9525839,-75.1652215
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,"PHILADELPHIA, CITY OF, PHILADELPHIA, PA",Philadelphia,"Philadelphia, PA, USA",,39.9525839,-75.1652215
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,"PHILADELPHIA, CITY OF, PHILADELPHIA, PA",Philadelphia,"Philadelphia, PA, USA",,39.9525839,-75.1652215
"PHILADELPHIA, CITY OF",PHILADELPHIA,PA,"PHILADELPHIA, CITY OF, PHILADELPHIA, PA",Philadelphia,"Philadelphia, PA, USA",,39.9525839,-75.1652215
PROJECT H.O.M.E.,PHILADELPHIA,PA,"PROJECT H.O.M.E., PHILADELPHIA, PA",Project HOME,"1515 Fairmount Ave, Philadelphia, PA 19130, USA",(215) 232-7272,39.9672135,-75.1612585
PUBLIC HEALTH MANAGEMENT CORPORATION,PHILADELPHIA,PA,"PUBLIC HEALTH MANAGEMENT CORPORATION, PHILADELPHIA, PA",Public Health Management Corporation,"1500 Market St, Philadelphia, PA 19102, USA",(215) 985-2500,39.9523167,-75.1664857
"RESOURCES FOR HUMAN DEVELOPMENT, INC.",PHILADELPHIA,PA,"RESOURCES FOR HUMAN DEVELOPMENT, INC., PHILADELPHIA, PA",Resources For Human Development Inc,"4800 N 5th St, Philadelphia, PA 19120, USA",(215) 329-3022,40.0244392,-75.133448
"SPECTRUM HEALTH SERVICES, INC.",PHILADELPHIA,PA,"SPECTRUM HEALTH SERVICES, INC., PHILADELPHIA, PA",Spectrum Community Health Center (SCHC),"5201 Haverford Ave, Philadelphia, PA 19139, USA",(215) 471-2761,39.9652863,-75.2250449
"EAST LIBERTY FAMILY HEALTH CARE CENTER, INC.",PITTSBURGH,PA,"EAST LIBERTY FAMILY HEALTH CARE CENTER, INC., PITTSBURGH, PA",East Liberty Family Health Care Center - East Liberty,"6023 Harvard St, Pittsburgh, PA 15206, USA",(412) 661-2802,40.4629273,-79.9230037
NORTH SIDE CHRISTIAN HEALTH CENTER,PITTSBURGH,PA,"NORTH SIDE CHRISTIAN HEALTH CENTER, PITTSBURGH, PA",Northside Christian Health Center,"816 Middle St, Pittsburgh, PA 15212, USA",(412) 321-4001,40.45525,-79.99942
"PRIMARY CARE HEALTH SERVICES, INC.",PITTSBURGH,PA,"PRIMARY CARE HEALTH SERVICES, INC., PITTSBURGH, PA","Primary Care Health Services, Inc.","7227 Hamilton Ave 2nd floor, Pittsburgh, PA 15208, USA",(412) 244-7792,40.454588,-79.896213
SQUIRREL HILL HEALTH CENTER,PITTSBURGH,PA,"SQUIRREL HILL HEALTH CENTER, PITTSBURGH, PA",Squirrel Hill Health Center,"4516 Browns Hill Rd, Pittsburgh, PA 15217, USA",(412) 422-7442,40.4167556,-79.9253997
"COMMUNITY HEALTH AND DENTAL CARE, INC.",POTTSTOWN,PA,"COMMUNITY HEALTH AND DENTAL CARE, INC., POTTSTOWN, PA",Community Health & Dental Care,"351 W Schuylkill Rd Suite G-15A, Pottstown, PA 19465, USA",(610) 326-9460,40.2369002,-75.6616449
BERKS COMMUNITY HEALTH CENTER,READING,PA,"BERKS COMMUNITY HEALTH CENTER, READING, PA",Berks Community Health Center (Northeast Reading),"1110 Rockland St, Reading, PA 19604, USA",(610) 988-4838,40.3643074,-75.9148101
"WRIGHT CENTER MEDICAL GROUP, THE",SCRANTON,PA,"WRIGHT CENTER MEDICAL GROUP, THE, SCRANTON, PA",The Wright Center for Community Health | The Wright Center for Graduate Medical Education Admin Bldg,"501 S Washington Ave Suite 1000, Scranton, PA 18505, USA",(570) 343-2383,41.4013862,-75.6696243
"SUSQUEHANNA COMMUNITY HEALTH AND DENTAL CLINIC, INC.",WILLIAMSPORT,PA,"SUSQUEHANNA COMMUNITY HEALTH AND DENTAL CLINIC, INC., WILLIAMSPORT, PA",River Valley Health & Dental Center,"471 Hepburn St, Williamsport, PA 17701, USA",(570) 567-5400,41.2421983,-77.0078411
FAMILY FIRST HEALTH CORPORATION,YORK,PA,"FAMILY FIRST HEALTH CORPORATION, YORK, PA",Family First Health,"116 S George St, York, PA 17401, USA",(717) 845-8617,39.960585,-76.727079
"CENTRO DE SALUD FAMILIAR DR. JULIO PALMIERI FERRI, INC.",ARROYO,PR,"CENTRO DE SALUD FAMILIAR DR. JULIO PALMIERI FERRI, INC., ARROYO, PR",Centro Salud Familiar Dr. Julio Palmieri Ferri,"Arroyo, 00714, Puerto Rico",(787) 839-4150,17.9684466,-66.060217
"SERVICIOS DE SALUD PRIMARIOS DE BARCELONETA, INC.",BARCELONETA,PR,"SERVICIOS DE SALUD PRIMARIOS DE BARCELONETA, INC., BARCELONETA, PR",Atlantic Medical Center,"PR-2, Barceloneta, 00617, Puerto Rico",(787) 846-4412,18.4301026,-66.5639949
COMMUNITY HEALTH FOUNDATION OF PUERTO RICO INC.,BAYAMON,PR,"COMMUNITY HEALTH FOUNDATION OF PUERTO RICO INC., BAYAMON, PR",Community Health Foundation of Puerto Rico,"17 Calle Marginal C, Bayamón, 00961, Puerto Rico",(787) 780-1273,18.3958586,-66.1483478
"CORPORACION DE SALUD ASEGURADA POR NUESTRA ORGANIZACIN SOLIDARIA, INC. (S.A.N.O.S.)",CAGUAS,PR,"CORPORACION DE SALUD ASEGURADA POR NUESTRA ORGANIZACIN SOLIDARIA, INC. (S.A.N.O.S.), CAGUAS, PR",Corporacion SANOS,"Esquina Troche, Av. Rafael Cordero, Caguas, 00725, Puerto Rico",(787) 745-0340,18.2334003,-66.0303497
CAMUY HEALTH SERVICES INC,CAMUY,PR,"CAMUY HEALTH SERVICES INC, CAMUY, PR",Camuy Health Services,"#63, Ave Luis Munoz Rivera, Camuy, 00627, Puerto Rico",(787) 898-2660,18.4839321,-66.8431641
"HOSPITAL GENERAL DE CASTANER, INC.",CASTANER,PR,"HOSPITAL GENERAL DE CASTANER, INC., CASTANER, PR",Hospital General Castañer,"Carr. 135 KM 4.5, Castañer, Lares 00631, Puerto Rico",(787) 829-5010,18.1810502,-66.8331137
"PRYMED MEDICAL CARE, INC.",CIALES,PR,"PRYMED MEDICAL CARE, INC., CIALES, PR",Prymed Medical Care. Inc.,"PR-149 Km. 13, Ciales, 00638, Puerto Rico",(787) 871-0601,18.3413649,-66.4689863
CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA,CIDRA,PR,"CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA, CIDRA, PR",COSSMA Cidra,"Ave El Jibaro Carr #172 Km 13.5 Bo, Cidra, 00739, Puerto Rico",(787) 739-8182,18.1786201,-66.154489
"NEOMED CENTER, INC.",GURABO,PR,"NEOMED CENTER, INC., GURABO, PR","NeoMed Center, Inc. - Gurabo Center","941 Salida Bo. Jaguas Calle, Gurabo, 00778, Puerto Rico",(787) 737-2311,18.257712,-65.97497
CORPORACION DE SERVICIOS MEDICO PRIMARIO Y PREVENCION DE HATILLO,HATILLO,PR,"CORPORACION DE SERVICIOS MEDICO PRIMARIO Y PREVENCION DE HATILLO, HATILLO, PR",Corporación de Servicios Médicos IPA-19,"Hatillo, 00659, Puerto Rico",(787) 898-4190,18.4873643,-66.8255639
"CENTRO DE SALUD DE LARES, INC.",LARES,PR,"CENTRO DE SALUD DE LARES, INC., LARES, PR",Centros Integrados de Servicios de Salud Lares,"Lares, 00669, Puerto Rico",(787) 897-2727,18.2906226,-66.8853835
"CONCILIO DE SALUD INTEGRAL DE LOIZA, INC.",LOIZA,PR,"CONCILIO DE SALUD INTEGRAL DE LOIZA, INC., LOIZA, PR","Integral Health Council of Loiza, Inc.","PR-187, Loíza, 00772, Puerto Rico",(787) 876-2042,18.4268944,-65.8801614
"MIGRANT HEALTH CENTER WESTERN REGION, INC.",MAYAGUEZ,PR,"MIGRANT HEALTH CENTER WESTERN REGION, INC., MAYAGUEZ, PR",Migrant Health Center Clinica Mayaguez,"Calle Ramón Emeterio Betances, #392 sur, Mayagüez 00681, Puerto Rico",(787) 805-2900,18.1847052,-67.143209
MOROVIS COMMUNITY HEALTH CENTER INC,MOROVIS,PR,"MOROVIS COMMUNITY HEALTH CENTER INC, MOROVIS, PR",Morovis Community Health Center,"#2 Carr Patron, Morovis, 00687, Puerto Rico",(787) 862-3000,18.326366,-66.40442
SALUD INTEGRAL EN LA MONTANA INC,NARANJITO,PR,"SALUD INTEGRAL EN LA MONTANA INC, NARANJITO, PR","Salud Integral en la Montaña, Inc. Clinica La Montaña","Cedro Arriba, Naranjito 00782, Puerto Rico",(787) 869-5900,18.2588079,-66.2824541
CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC,PATILLAS,PR,"CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC, PATILLAS, PR",Centro de Servicios Primarios de Salud de Patillas,"99 Cll Guillermo Riefkohl, Patillas, 00723, Puerto Rico",(787) 839-4320,18.0036952,-66.0131466
"MED CENTRO, INC.",PONCE,PR,"MED CENTRO, INC., PONCE, PR","Med Centro, Inc.","1034 Av. Hostos, Ponce, 00716, Puerto Rico",(787) 843-9393,17.9919697,-66.6157806
COSTA SALUD COMMUNITY HEALTH CENTERS INC.,RINCON,PR,"COSTA SALUD COMMUNITY HEALTH CENTERS INC., RINCON, PR",Costa Salud Community Health Center,"Rincon, Rincón 00677, Puerto Rico",(787) 823-5500,18.3388866,-67.2518856
"HPM FOUNDATION, INC",SAN JUAN,PR,"HPM FOUNDATION, INC, SAN JUAN, PR",Health ProMed,"Avenida Borinquen, San Juan, 00915, Puerto Rico",(787) 268-4171,18.4376724,-66.056066
MUNICIPIO DE SAN JUAN,SAN JUAN,PR,"MUNICIPIO DE SAN JUAN, SAN JUAN, PR",San Juan,"San Juan, Puerto Rico",,18.4655394,-66.1057355
"PUERTO RICO COMMUNITY NETWORK FOR CLINICAL SERVICES, RESEARCH AND HEALTH ADVANCEMENT (PRCONCRA) INC.",SAN JUAN,PR,"PUERTO RICO COMMUNITY NETWORK FOR CLINICAL SERVICES, RESEARCH AND HEALTH ADVANCEMENT (PRCONCRA) INC., SAN JUAN, PR",PR CoNCRA,"Urb. García Ubarri, #1162, Calle Brumbaugh, San Juan, 00925, Puerto Rico",(787) 753-9437,18.3966848,-66.0522082
"COMPREHENSIVE COMMUNITY ACTION, INC.",CRANSTON,RI,"COMPREHENSIVE COMMUNITY ACTION, INC., CRANSTON, RI","Comprehensive Community Action,Inc.","111 Francis St, Providence, RI 02908, USA",,41.8281064,-71.4158428
"WOOD RIVER HEALTH SERVICES, INC.",HOPE VALLEY,RI,"WOOD RIVER HEALTH SERVICES, INC., HOPE VALLEY, RI",Wood River Health Services,"823 Main St, Hope Valley, RI 02832, USA",(401) 539-2461,41.489782,-71.736562
EAST BAY COMMUNITY ACTION PROGRAM,NEWPORT,RI,"EAST BAY COMMUNITY ACTION PROGRAM, NEWPORT, RI",East Bay Community Action Program,"6 John H Chafee Blvd, Newport, RI 02840, USA",(401) 848-2160,41.5169941,-71.3124793
NORTHWEST COMMUNITY HEALTH CARE,PASCOAG,RI,"NORTHWEST COMMUNITY HEALTH CARE, PASCOAG, RI",Northwest Community Health Cr,"36 Bridge Way, Pascoag, RI 02859, USA",(401) 285-5101,41.95678,-71.702394
"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC.",PAWTUCKET,RI,"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC., PAWTUCKET, RI",Blackstone Valley Community Health Care,"39 East Ave, Pawtucket, RI 02860, USA",(401) 722-0081,41.8764102,-71.3866984
"PROVIDENCE COMMUNITY HEALTH CENTERS, INC., THE",PROVIDENCE,RI,"PROVIDENCE COMMUNITY HEALTH CENTERS, INC., THE, PROVIDENCE, RI",Providence Community Health Centers,"375 Allens Ave, Providence, RI 02905, USA",(401) 444-0400,41.8028161,-71.4016649
THUNDERMIST HEALTH CENTER,WOONSOCKET,RI,"THUNDERMIST HEALTH CENTER, WOONSOCKET, RI",Thundermist Health Center of Woonsocket,"450 Clinton St, Woonsocket, RI 02895, USA",(401) 767-4100,42.0070571,-71.5063171
"FETTER HEALTH CARE NETWORK, INC.",CHARLESTON,SC,"FETTER HEALTH CARE NETWORK, INC., CHARLESTON, SC",Fetter Health Care Network - Charleston Health Center & Corporate Office,"51 Nassau St, Charleston, SC 29403, USA",(843) 722-4112,32.7939273,-79.9388134
"RURAL HEALTH SERVICES, INC.",CLEARWATER,SC,"RURAL HEALTH SERVICES, INC., CLEARWATER, SC","Rural Health Services, Inc","4645 Augusta Rd, Beech Island, SC 29842, USA",(803) 593-9283,33.4941021,-81.8970909
EAU CLAIRE COOPERATIVE HEALTH CENTER,COLUMBIA,SC,"EAU CLAIRE COOPERATIVE HEALTH CENTER, COLUMBIA, SC",Eau Claire Walk-In,"4605 Monticello Rd Building B, Suite 2, Columbia, SC 29203, USA",(803) 753-5590,34.0459609,-81.0438096
"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC.",CONWAY,SC,"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC., CONWAY, SC",Health Care Partners Of South Carolina,"1608 Main St, Conway, SC 29526, USA",(843) 248-4700,33.8509838,-79.0563667
"LOW COUNTRY HEALTH CARE SYSTEM, INC.",FAIRFAX,SC,"LOW COUNTRY HEALTH CARE SYSTEM, INC., FAIRFAX, SC","Low Country Health Care System, Inc.","333 Revolutionary Trail, Fairfax, SC 29827, USA",(803) 632-2533,32.9658573,-81.249802
"HOPEHEALTH, INC.",FLORENCE,SC,"HOPEHEALTH, INC., FLORENCE, SC",HopeHealth,"360 N Irby St, Florence, SC 29501, USA",(843) 667-9414,34.2023486,-79.7681353
"NEW HORIZON FAMILY HEALTH SERVICES, INC",GREENVILLE,SC,"NEW HORIZON FAMILY HEALTH SERVICES, INC, GREENVILLE, SC",New Horizon Family Health Services,"975 W Faris Rd, Greenville, SC 29605, USA",(864) 729-8330,34.815959,-82.414598
CARE SOUTH CAROLINA INC,HARTSVILLE,SC,"CARE SOUTH CAROLINA INC, HARTSVILLE, SC",CareSouth Carolina,"201 S 5th St, Hartsville, SC 29550, USA",(843) 857-0111,34.3730082,-80.0722992
"LITTLE RIVER MEDICAL CENTER, INC.",LITTLE RIVER,SC,"LITTLE RIVER MEDICAL CENTER, INC., LITTLE RIVER, SC",Little River Medical Center,"4303 Live Oak Dr, Little River, SC 29566, USA",(843) 663-8000,33.8832359,-78.5987243
ST. JAMES HEALTH AND WELLNESS INC.,MCCLELLANVLE,SC,"ST. JAMES HEALTH AND WELLNESS INC., MCCLELLANVLE, SC",St. James Health and Wellness,"1189 Tibwin Rd, McClellanville, SC 29458, USA",(843) 887-3274,33.0821113,-79.5114593
"FAMILY HEALTH CENTERS, INC.",ORANGEBURG,SC,"FAMILY HEALTH CENTERS, INC., ORANGEBURG, SC","Family Health Centers, Inc.","3310 Magnolia St, Orangeburg, SC 29115, USA",(803) 531-6900,33.5285027,-80.8384648
"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED",RIDGELAND,SC,"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED, RIDGELAND, SC",Beaufort Jasper Hampton Comprehensive Health Services,"Family Medical Center, 1520 Grays Hwy, Ridgeland, SC 29936, USA",(843) 726-3979,32.4968948,-80.9856033
"COMMUNITY MEDICINE FOUNDATION, INC.",ROCK HILL,SC,"COMMUNITY MEDICINE FOUNDATION, INC., ROCK HILL, SC",Community Medicine Foundation,"1131 Saluda St, Rock Hill, SC 29730, USA",(803) 325-7744,34.9072251,-81.0293365
ROSA CLARK MEDICAL CLINIC INC,SENECA,SC,"ROSA CLARK MEDICAL CLINIC INC, SENECA, SC",United Way of Oconee County,"528 Bypass 123 Suite C, Seneca, SC 29678, USA",(864) 882-9743,34.6980736,-82.9550518
HORIZON HEALTH CARE INC,HOWARD,SD,"HORIZON HEALTH CARE INC, HOWARD, SD",Horizon Health Care Administration Office,"109 N Main St, Howard, SD 57349, USA",(605) 772-4525,44.0112629,-97.5268854
OCOEE REGIONAL HEALTH CORPORATION,BENTON,TN,"OCOEE REGIONAL HEALTH CORPORATION, BENTON, TN",Ocoee Regional Health Corporation,"6784 US-411, Benton, TN 37307, USA",(423) 338-2831,35.186564,-84.6358355
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,CHATTANOOGA,TN,"CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY, CHATTANOOGA, TN",Hamilton County Health Department,"921 E 3rd St, Chattanooga, TN 37403, USA",(423) 209-8000,35.0484961,-85.2920073
"HEALTH, TENNESSEE DEPT OF",COOKEVILLE,TN,"HEALTH, TENNESSEE DEPT OF, COOKEVILLE, TN",Putnam County Health Department,"701 County Services Dr, Cookeville, TN 38501, USA",(931) 528-2531,36.1494165,-85.5229902
CHEROKEE HEALTH SYSTEMS,KNOXVILLE,TN,"CHEROKEE HEALTH SYSTEMS, KNOXVILLE, TN",Cherokee Health Systems: Allen William PHD,"2018 Western Ave, Knoxville, TN 37921, USA",(865) 544-0406,35.9665829,-83.9453236
"CHRIST COMMUNITY HEALTH SERVICES, INC.",MEMPHIS,TN,"CHRIST COMMUNITY HEALTH SERVICES, INC., MEMPHIS, TN",Christ Community Health Services,"2569 Douglass Ave, Memphis, TN 38114, USA",(901) 842-3164,35.1096896,-89.9767585
"MEMPHIS HEALTH CENTER, INC.",MEMPHIS,TN,"MEMPHIS HEALTH CENTER, INC., MEMPHIS, TN","Memphis Health Center, Inc.","360 E E.H.Crump Blvd, Memphis, TN 38126, USA",(901) 261-2000,35.1247037,-90.050498
TRI-STATE COMMUNITY HEALTH CENTER,MEMPHIS,TN,"TRI-STATE COMMUNITY HEALTH CENTER, MEMPHIS, TN",Tri-State Community Health Center,"4041 Knight Arnold Rd, Memphis, TN 38118, USA",(901) 572-1573,35.0643671,-89.9286313
"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",NASHVILLE,TN,"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC., NASHVILLE, TN",Matthew Walker Comprehensive Health Center,"1035 14th Ave N, Nashville, TN 37208, USA",(615) 327-9400,36.170308,-86.8011117
TENNESSEE DEPT OF HEALTH,NASHVILLE,TN,"TENNESSEE DEPT OF HEALTH, NASHVILLE, TN",Tennessee Department of Health,"665 Mainstream Dr, Nashville, TN 37243, USA",(615) 741-3011,36.1958299,-86.818922
